i,x1,x2,x3,x4,x5,x6,y,l,r
1,80,5.9,0.6,20,27,4,300,120,80
2,90,4.9,0.0,35,30,4,470,140,150
3,70,6.55,0.4,30,35,3,330,100,100
4,120,6.8,0.6,30,40,3,750,220,180
5,100,4.9,0.0,35,33,4,600,200,200
6,100,6.55,0.0,30,40,5,670,240,150
7,80,5.9,0.4,20,18,5,220,100,50
8,90,6.8,0.6,30,45,5,630,180,170
9,90,6.15,0.6,30,12,4,200,100,50
10,100,6.15,0.0,30,30,3,550,170,80
11,80,4.9,0.0,35,25,3,350,130,50
12,90,5.9,0.6,20,22,3,330,130,90
13,100,6.8,0.6,30,65,3,1000,300,270
14,70,6.15,0.6,30,23,4,180,80,70
15,80,6.55,0.6,30,30,4,370,170,100
16,70,4.9,0.4,30,23,5,200,80,70
17,100,6.15,0.0,30,34,5,620,170,110
18,80,5.9,0.6,20,20,4,220,100,30
19,80,5.9,0.6,20,18,2,200,100,70
20,100,6.55,0.0,30,42,4,680,180,190
21,80,4.9,0.6,35,30,3,420,190,60
22,100,6.15,0.0,30,20,3,470,220,30
23,80,6.15,0.6,20,23,4,280,130,50
24,110,6.8,0.0,30,35,5,680,180,140
25,80,3.25,0.6,30,33,3,430,150,40
26,100,6.15,0.0,30,47,4,720,190,180
27,120,4.7,0.4,30,57,5,1130,400,90
28,90,5.9,0.0,30,23,3,380,110,100
29,100,5.9,0.0,30,35,4,630,200,70
30,90,4.7,0.0,30,25,3,350,80,150
31,100,6.8,0.0,30,37,4,600,200,180
32,80,6.15,0.4,20,28,3,370,150,50
33,90,6.55,0.0,30,20,3,320,120,60
34,100,6.55,0.4,30,32,4,500,150,150
35,90,6.55,0.0,30,35,4,550,200,150
36,90,5.9,0.6,20,17,4,270,140,80
37,100,6.15,0.0,30,35,4,630,230,120
38,80,5.9,0.0,30,23,2,320,120,60
39,80,6.8,0.6,20,15,4,150,50,30
40,90,6.15,0.0,30,20,3,350,120,30
41,80,4.9,0.6,35,27,3,320,120,100
42,80,6.15,0.0,30,22,3,300,100,30
43,100,6.8,0.0,30,43,4,670,190,150
44,100,4.9,0.0,35,35,5,630,200,120
45,60,6.55,0.6,20,27,4,170,50,60
46,120,4.9,0.0,35,50,3,970,240,200
47,70,6.15,0.6,30,25,3,180,60,70
48,100,5.9,0.4,30,28,3,530,230,70
49,80,6.8,0.6,20,20,3,220,100,80
50,100,6.15,0.4,30,37,4,620,250,100
51,80,6.15,0.0,20,30,4,430,150,90
52,90,6.55,0.4,30,30,3,420,120,100
53,80,5.9,0.6,20,20,3,250,120,50
54,70,4.9,0.6,35,25,2,180,60,120
55,80,5.9,0.0,20,30,4,400,120,80
56,90,6.55,0.6,30,35,3,500,180,180
57,80,6.8,0.0,20,30,4,400,130,100
58,70,5.9,0.6,20,23,3,180,80,50
59,100,6.15,0.0,30,30,4,550,180,150
60,80,6.55,0.6,20,33,4,450,230,50
61,80,4.9,0.0,35,27,4,320,90,80
62,90,3.25,0.0,30,25,3,380,100,90
63,60,6.55,0.4,30,30,2,250,100,70
64,80,4.9,0.0,35,27,4,350,120,120
65,150,6.8,0.6,30,75,5,1520,470,280
66,80,5.9,0.0,20,20,4,270,100,30
67,70,6.15,0.6,30,23,4,170,70,60
68,80,5.9,0.4,30,25,3,300,100,70
69,80,5.9,0.6,20,33,2,450,200,120
70,80,4.9,0.0,35,28,3,370,140,100
71,70,6.55,0.4,30,23,2,200,70,50
72,80,6.8,0.0,20,37,4,450,120,220
73,70,6.15,0.6,30,30,4,270,120,50
74,80,6.55,0.4,30,22,3,270,120,50
75,100,4.9,0.6,35,36,3,650,280,30
76,80,4.9,0.6,35,20,3,450,100,50
77,80,5.9,0.0,20,20,4,250,80,80
78,100,6.15,0.0,30,35,5,580,130,170
79,80,6.8,0.6,30,37,3,470,170,130
80,100,5.9,0.4,20,25,2,500,180,120
81,90,6.55,0.0,30,20,3,350,100,30
82,100,6.8,0.0,30,37,2,670,250,60
83,80,6.8,0.6,20,35,3,470,170,110
84,90,6.15,0.6,20,40,2,530,150,120
85,80,6.55,0.0,30,30,3,430,150,70
86,60,6.15,0.4,30,28,3,170,70,60
87,70,4.9,0.6,35,22,3,180,60,70
88,100,4.7,0.6,30,43,3,650,170,270
89,90,4.9,0.6,35,30,2,470,170,110
90,70,4.9,0.6,35,27,4,270,120,50
91,110,5.9,0.6,20,47,3,830,250,220
92,80,4.7,0.0,30,20,2,250,80,70
93,100,6.8,0.4,30,35,4,620,220,80
94,80,4.9,0.4,40,32,4,430,200,120
95,100,6.15,0.0,30,40,3,780,300,20
96,80,6.15,0.0,30,35,3,480,150,40
97,90,5.9,0.6,30,27,4,420,190,10
98,70,5.9,0.6,30,23,4,170,70,80
99,80,5.9,0.0,30,25,2,320,100,60
100,80,3.25,0.4,30,18,3,220,90,50
101,70,6.15,0.0,30,30,4,350,150,20
102,120,6.8,0.0,30,50,3,1000,320,150
103,90,6.15,0.0,30,33,4,530,180,50
104,70,6.8,0.0,30,23,4,220,100,60
105,100,6.8,0.6,30,35,3,580,200,150
106,90,4.9,0.0,35,35,3,570,170,80
107,70,6.15,0.6,30,25,2,200,80,80
108,80,6.15,0.4,30,25,3,300,100,30
109,100,6.55,0.0,20,32,3,570,190,160
110,90,5.9,0.0,20,30,3,520,190,50
111,120,6.15,0.0,20,47,2,1000,270,50
112,100,6.55,0.4,30,50,4,800,230,120
113,90,6.55,0.4,30,20,3,300,120,80
114,60,6.15,0.0,30,30,2,250,100,70
115,70,5.9,0.0,60,27,3,250,80,80
116,70,6.55,0.0,30,32,3,320,70,50
117,80,4.9,0.0,40,35,3,450,130,80
118,80,5.9,0.0,20,35,5,500,150,120
119,90,6.15,0.0,30,23,2,380,130,90
120,100,6.55,0.6,20,35,4,620,250,200
121,80,5.9,0.0,30,28,3,370,120,60
122,100,4.9,0.6,30,48,3,780,260,170
123,80,6.55,0.6,30,37,4,530,250,50
124,60,5.9,0.6,30,27,4,180,60,40
125,80,6.15,0.6,20,47,3,600,170,80
126,80,6.15,0.0,30,30,3,500,100,100
127,80,6.15,0.0,30,30,4,400,150,70
128,70,5.9,0.0,30,23,3,230,80,40
129,70,6.15,0.6,30,23,3,170,70,60
130,100,5.9,0.0,60,40,4,720,240,100
131,70,6.15,0.0,20,33,2,380,110,100
132,90,6.8,0.6,30,34,3,480,200,90
133,80,6.55,0.0,20,30,4,380,110,90
134,90,5.9,0.0,30,27,4,400,120,100
135,80,6.15,0.0,30,32,4,380,100,70
136,100,3.25,0.4,30,37,3,630,180,100
137,80,6.55,0.4,30,35,3,420,140,100
138,100,6.55,0.4,30,30,3,520,170,110
139,120,6.15,0.0,30,47,3,1020,370,110
140,70,5.9,0.6,30,25,2,200,80,80
141,70,5.9,0.0,30,35,3,400,100,20
142,90,6.15,0.0,30,20,3,320,120,110
143,100,6.8,0.0,30,28,2,520,170,160
144,80,6.8,0.6,30,17,3,180,80,50
145,80,6.15,0.4,30,23,3,250,70,70
146,90,4.9,0.0,35,23,3,370,100,100
147,90,6.15,0.0,30,30,4,480,180,100
